,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,TotalSF
24,8246,5,1968,2001,188.0,1060.0,1060,1,0,3,6,1,1.0,270.0,406,90,5.187523540921346,1060
25,14230,8,2007,2007,0.0,1566.0,1600,2,0,3,7,1,3.0,890.0,0,56,5.408750300658043,1600
26,7200,5,1951,2000,234.0,900.0,900,1,0,3,5,0,2.0,576.0,222,32,5.129693113956504,900
27,11478,8,2007,2008,1218.0,1704.0,1704,2,0,3,7,1,3.0,772.0,0,50,5.4857228457422735,1704
28,16321,5,1957,1997,1277.0,1484.0,1600,1,0,2,6,2,1.0,319.0,288,258,5.317020194028523,1600
29,6324,4,1927,1950,0.0,520.0,520,1,0,1,4,0,1.0,240.0,49,0,4.835696911511578,520
30,8500,4,1920,1950,0.0,649.0,1317,1,0,3,6,0,1.0,250.0,0,54,4.602070848554296,1317
31,8544,5,1966,2006,0.0,1228.0,1228,1,1,3,6,0,1.0,271.0,0,65,5.174208134827847,1228
32,11049,8,2007,2007,0.0,1234.0,1234,2,0,3,7,0,2.0,484.0,0,30,5.255033577427124,1234
33,10552,5,1959,1959,1018.0,1398.0,1700,1,1,4,6,1,2.0,447.0,0,38,5.218800622239652,1700
34,7313,9,2005,2005,1153.0,1561.0,1561,2,0,2,6,1,2.0,556.0,203,47,5.443264552481035,1561
35,13418,8,2004,2005,0.0,1117.0,2452,3,1,4,9,1,3.0,691.0,113,32,5.4899598849063205,2452
36,10859,5,1994,1995,0.0,1097.0,1097,1,1,3,6,0,2.0,672.0,392,64,5.161370997359005,1097
37,8532,5,1954,1990,1213.0,1297.0,1297,1,0,3,5,1,2.0,498.0,0,0,5.184694269334348,1297
38,7922,5,1953,2007,731.0,1057.0,1057,1,0,3,5,0,1.0,246.0,0,52,5.037430482275392,1057
39,6040,4,1955,1955,0.0,0.0,1152,2,0,2,6,0,0.0,0.0,0,0,4.913819148625592,1152
40,8658,6,1965,1965,643.0,1088.0,1324,2,0,3,6,1,2.0,440.0,0,138,5.204122696987954,1324
41,16905,5,1959,1959,967.0,1350.0,1328,1,1,2,5,2,1.0,308.0,0,104,5.230451476044183,1328
42,9180,5,1983,1983,747.0,840.0,884,1,0,2,5,0,2.0,504.0,240,0,5.158365508018679,884
43,9200,5,1975,1980,280.0,938.0,938,1,0,3,5,0,1.0,308.0,145,0,5.114781066273403,938
44,7945,5,1959,1959,179.0,1150.0,1150,1,0,3,6,0,1.0,300.0,0,0,5.149222192747166,1150
45,7658,9,2005,2005,456.0,1752.0,1752,2,0,2,6,1,2.0,576.0,196,82,5.505015597676489,1752
46,12822,7,2003,2003,1351.0,1434.0,2149,1,1,1,6,1,2.0,670.0,168,43,5.3796444796683245,2149
47,11096,8,2006,2006,24.0,1656.0,1656,2,0,3,7,0,3.0,826.0,0,146,5.397420281612911,1656
48,4456,4,1920,2008,0.0,736.0,1452,2,0,2,8,0,0.0,0.0,0,0,5.0530822867804135,1452
49,7742,5,1966,1966,763.0,955.0,955,1,0,3,6,0,1.0,386.0,0,0,5.103807140584084,955
50,13869,6,1997,1997,182.0,794.0,1470,2,0,3,6,0,2.0,388.0,0,75,5.247975719996016,1470
51,6240,6,1934,1950,0.0,816.0,1176,1,0,3,6,1,2.0,528.0,112,0,5.058809279624251,816
52,8472,5,1963,1963,104.0,816.0,816,1,0,2,5,0,2.0,516.0,106,0,5.041396633271932,816
53,7134,5,1955,1955,384.0,384.0,1360,1,0,3,6,1,2.0,572.0,0,50,5.113946693020772,1360
54,10175,6,1964,1964,490.0,1425.0,1425,2,0,3,7,1,2.0,576.0,0,0,5.256479612298623,1425
55,2645,8,1999,2000,649.0,970.0,1739,2,1,3,7,0,2.0,480.0,115,0,5.236791617051166,1739
56,11645,7,2004,2004,0.0,860.0,1720,2,1,3,7,0,2.0,565.0,0,70,5.293364764855857,1720
57,13682,10,2006,2006,0.0,1410.0,2945,3,1,3,10,1,3.0,641.0,192,0,5.642247813584059,2945
58,7200,5,1972,1972,632.0,780.0,780,1,0,2,4,0,1.0,352.0,196,0,5.096565915497782,780
59,13072,6,2004,2004,941.0,1158.0,1158,1,1,3,5,0,2.0,576.0,0,50,5.1986598356449765,1158
60,7200,5,1920,1996,0.0,530.0,1111,1,0,3,6,0,1.0,288.0,0,0,5.004325673706721,1111
61,6442,8,2006,2006,24.0,1370.0,1370,2,0,2,6,1,2.0,484.0,120,49,5.3064271722095,1370
62,10300,7,1921,1950,0.0,576.0,1710,2,0,3,9,0,2.0,480.0,12,11,5.146131137770602,1710
63,9375,7,1997,1998,739.0,1057.0,2034,2,1,3,8,0,2.0,645.0,576,36,5.341436503136193,2034
64,9591,8,2004,2005,0.0,1143.0,2473,2,1,4,9,1,3.0,852.0,192,151,5.501060632229729,2473
65,19900,7,1970,1989,912.0,1947.0,2207,2,0,3,7,1,2.0,576.0,301,0,5.2552749178437255,2207
66,10665,7,2003,2003,1013.0,1453.0,1479,2,0,3,7,0,2.0,558.0,144,29,5.354110360800149,1479
67,4608,4,1945,1950,0.0,747.0,747,1,0,2,4,0,1.0,220.0,0,0,4.903095415639038,747
68,15593,7,1953,1953,603.0,1304.0,2287,2,0,3,7,1,2.0,667.0,0,21,5.3521844483047705,2287
69,13651,7,1973,1973,1880.0,2223.0,2223,2,0,3,8,2,2.0,516.0,300,0,5.3873916062305,2223
70,7599,4,1982,2006,565.0,845.0,845,1,0,2,4,0,2.0,360.0,0,0,5.1122731220296656,845
71,10141,7,1998,1998,0.0,832.0,1718,2,1,3,7,1,2.0,427.0,0,94,5.267174075934409,1718
72,10200,5,1954,2003,320.0,1086.0,1086,1,0,3,6,0,2.0,490.0,0,0,5.161071382662226,1086
73,5790,3,1915,1950,0.0,840.0,1605,2,0,3,8,0,1.0,379.0,0,0,5.031008325054971,1605
74,1596,4,1973,1973,462.0,462.0,988,1,0,2,5,0,1.0,297.0,120,101,4.9590461647617055,988
75,8475,4,1956,1956,228.0,952.0,952,1,0,2,4,0,1.0,283.0,0,0,5.132743037471804,952
76,8635,5,1948,2001,336.0,672.0,1285,1,0,2,6,0,1.0,240.0,0,0,5.103807140584084,1285
77,10778,4,1968,1968,0.0,1768.0,1768,2,0,4,8,0,0.0,0.0,0,0,5.135135833009676,1768
78,10440,5,1910,1981,0.0,440.0,1230,1,1,2,5,0,2.0,440.0,74,0,5.041396633271932,1230
79,13000,6,1968,1968,448.0,896.0,2142,2,1,4,8,1,1.0,509.0,0,72,5.286683213765058,2142
80,4500,6,1998,1998,1201.0,1237.0,1337,2,0,2,5,0,2.0,405.0,0,199,5.186111209084002,1337
81,10206,8,2007,2007,33.0,1563.0,1563,2,0,3,6,1,3.0,758.0,144,99,5.389167856991453,1563
82,8892,5,1960,1960,0.0,1065.0,1065,1,1,3,6,0,2.0,461.0,74,0,5.102093958656226,1065
83,8530,7,1995,1996,0.0,384.0,1474,2,1,3,7,1,2.0,400.0,120,72,5.226602482615032,1474
84,16059,8,1991,1992,0.0,1288.0,2417,2,1,4,9,1,2.0,462.0,127,82,5.414975018330997,2417
85,11911,6,2005,2005,0.0,684.0,1560,2,1,3,6,1,2.0,400.0,100,38,5.240551744220726,1560
86,3951,6,2009,2009,0.0,612.0,1224,2,1,2,4,0,2.0,528.0,0,234,5.216168542366004,1224
87,8470,3,1915,1982,0.0,1013.0,1526,1,0,2,6,0,0.0,0.0,0,0,4.929424035031084,1013
88,8070,4,1994,1995,588.0,990.0,990,1,0,3,5,0,0.0,0.0,0,0,5.0920219844479835,990
89,7200,4,1950,1950,0.0,0.0,1040,1,0,2,4,0,2.0,420.0,0,29,5.041001644129642,1040
90,8500,5,1961,1961,600.0,1235.0,1235,1,0,2,6,0,2.0,480.0,0,0,4.993881319528225,1235
91,13360,5,1921,2006,713.0,876.0,964,1,0,2,5,0,2.0,432.0,0,0,5.213520413223545,964
92,7200,6,1910,1998,1046.0,1214.0,2291,2,0,4,9,1,2.0,506.0,0,0,5.1267838204239595,2291
93,9337,6,1997,1997,648.0,824.0,1786,2,1,3,7,0,2.0,684.0,0,162,5.311226031523647,1786
94,9765,6,1993,1993,310.0,680.0,1470,2,1,3,6,1,2.0,420.0,232,63,5.267174075934409,1470
95,10264,7,1999,1999,1162.0,1588.0,1588,2,0,3,6,0,2.0,472.0,158,29,5.3304158027579165,1588
96,10921,4,1965,1965,520.0,960.0,960,1,0,3,6,0,1.0,432.0,120,0,4.976583802198845,960
97,10625,5,1920,1950,108.0,458.0,835,1,0,2,5,0,1.0,366.0,0,0,4.919083324808191,835
98,9320,4,1959,1959,569.0,950.0,1225,1,1,3,6,0,0.0,0.0,352,0,5.110424714390187,1225
99,10603,6,1977,2001,1200.0,1610.0,1610,2,0,3,6,2,2.0,480.0,168,68,5.311755979560255,1610
100,9206,6,1985,1985,0.0,741.0,1732,2,1,3,7,1,2.0,476.0,192,46,5.250422442158681,1732
101,7018,5,1979,1979,0.0,0.0,1535,2,0,4,8,0,2.0,410.0,0,0,5.075419208933336,1535
102,10402,7,2009,2009,0.0,1226.0,1226,2,0,3,6,0,3.0,740.0,0,36,5.298636966600505,1226
103,7758,7,1931,1950,224.0,1040.0,1818,1,1,4,7,2,1.0,240.0,0,0,5.229172264740876,1818
104,9375,8,2003,2004,0.0,1053.0,1992,2,1,3,9,1,2.0,648.0,140,45,5.397941745846491,1992
105,10800,4,1885,1995,0.0,641.0,1047,1,0,2,6,0,1.0,273.0,0,0,5.000004342923105,1047
106,6000,5,1948,1950,104.0,789.0,789,1,0,2,5,0,1.0,250.0,0,0,5.060701616810948,789
107,8500,5,1919,2005,0.0,793.0,1517,2,0,3,7,0,0.0,0.0,0,0,5.060701616810948,1517
108,11751,6,1977,1977,705.0,1844.0,1844,2,0,3,7,1,2.0,546.0,0,122,5.278755886707245,1844
109,9525,6,1954,1972,444.0,994.0,1855,2,0,4,7,0,1.0,325.0,182,0,5.136406620470701,1855
110,7750,7,2000,2000,250.0,384.0,1430,2,1,3,7,1,2.0,400.0,180,0,5.2552749178437255,1430
111,9965,7,2007,2007,984.0,1264.0,2696,2,1,4,10,1,3.0,792.0,120,184,5.584298424847806,2696
112,7259,6,1945,2002,774.0,1028.0,2320,2,1,3,9,1,1.0,180.0,224,0,5.41413903576307,2320
113,3230,6,1999,1999,419.0,729.0,1458,2,1,2,5,1,2.0,440.0,0,32,5.245515135389423,1458
114,11616,5,1962,1962,170.0,1092.0,1092,1,0,3,6,1,1.0,288.0,0,20,5.14301792466359,1092
115,8536,5,2006,2007,0.0,1125.0,1125,1,1,2,5,0,2.0,430.0,80,64,5.1903345000611365,1125
116,12376,7,1990,1990,1470.0,1673.0,3222,3,0,5,11,2,3.0,594.0,367,0,5.5051513354880415,3222
117,8461,6,2005,2006,0.0,728.0,1456,2,1,3,8,1,2.0,390.0,0,24,5.21482001415995,1456
118,6060,4,1939,1950,0.0,732.0,1123,1,0,3,4,0,1.0,264.0,0,0,5.000004342923105,1123
119,9464,6,1958,1958,570.0,1080.0,1080,1,0,3,5,0,1.0,288.0,0,0,5.1335421017002565,1080
120,7892,6,1993,1993,300.0,1199.0,1199,2,0,2,5,0,2.0,530.0,0,63,5.1872414417487684,1199
121,17043,6,1979,1998,0.0,1362.0,1586,2,0,3,7,1,2.0,435.0,192,0,5.257680974279584,1586
122,6780,6,1935,1982,490.0,520.0,754,1,0,2,5,0,0.0,0.0,53,0,4.926861848498948,520
123,4928,6,1976,1976,120.0,1078.0,958,2,0,2,5,1,2.0,440.0,0,205,5.1072133625602545,958
124,4388,5,1930,1950,116.0,672.0,840,1,0,3,5,1,0.0,0.0,0,0,4.939524244480526,840
125,7590,6,1966,1966,512.0,660.0,1348,1,1,3,6,1,2.0,453.0,188,108,5.1903345000611365,1348
126,8973,5,1958,1991,567.0,1008.0,1053,1,1,3,6,0,2.0,750.0,0,80,5.176094154342576,1053
127,14200,7,1966,1966,445.0,924.0,2157,2,1,4,8,2,2.0,487.0,105,66,5.354110360800149,2157
128,12224,6,2000,2000,695.0,992.0,2054,2,1,3,7,1,2.0,390.0,24,48,5.3873916062305,2054
129,7388,5,1959,2002,405.0,1063.0,1327,1,0,3,7,0,2.0,624.0,0,0,5.1782602016947195,1327
130,6853,8,2001,2002,1005.0,1267.0,1296,2,0,2,6,0,2.0,471.0,192,25,5.342424654883547,1296
131,10335,5,1968,1993,570.0,1461.0,1721,2,1,3,7,1,2.0,440.0,0,96,5.2552749178437255,1721
132,10400,7,1970,1970,0.0,1304.0,1682,2,0,3,7,1,2.0,530.0,98,0,5.240551744220726,1682
133,10355,5,1967,1967,695.0,1214.0,1214,2,0,3,5,1,1.0,318.0,0,111,5.155339074478792,1214
134,11070,7,1988,1989,0.0,1907.0,1959,3,0,5,9,0,3.0,766.0,0,0,5.23299865011854,1959
135,9066,8,1999,2000,668.0,1004.0,1852,2,1,3,7,2,3.0,660.0,224,106,5.361729724250366,1852
136,15426,6,1997,1997,821.0,928.0,1764,2,1,3,7,0,2.0,470.0,276,99,5.364552871352002,1764
137,10500,4,1971,1971,432.0,864.0,864,1,0,3,5,1,0.0,0.0,0,0,5.060701616810948,864
138,11645,7,2005,2005,1300.0,1734.0,1734,2,0,3,7,0,2.0,660.0,160,24,5.414975018330997,1734
139,8520,5,1952,1952,507.0,910.0,1385,2,0,4,6,0,2.0,720.0,0,0,5.220110704263994,1385
140,10335,7,1999,1999,679.0,1490.0,1501,2,0,3,6,0,2.0,577.0,144,29,5.3096322963152,1501
141,9100,5,1963,1963,1332.0,1728.0,1728,2,0,6,10,0,2.0,504.0,0,0,5.096913487350014,1728
142,2522,6,2004,2006,0.0,970.0,1709,2,0,3,7,0,2.0,380.0,0,40,5.113946693020772,1709
143,6120,5,1931,1993,209.0,715.0,875,1,0,2,5,0,1.0,180.0,48,0,5.021193435188165,875
144,9505,7,2001,2001,0.0,884.0,2035,2,1,3,8,1,2.0,434.0,144,48,5.347331967197876,2035
145,7500,7,2004,2005,680.0,1080.0,1080,1,0,3,6,0,0.0,0.0,0,0,5.149222192747166,1080
146,6240,5,1936,1950,0.0,896.0,1344,1,0,3,7,0,1.0,240.0,200,114,5.060701616810948,1344
147,10356,5,1975,1975,716.0,969.0,969,1,1,3,5,0,2.0,440.0,0,0,5.086363390450995,969
148,13891,8,2007,2008,1400.0,1710.0,1710,2,0,2,6,1,3.0,866.0,0,102,5.571013170908118,1710
149,14803,6,1971,1971,416.0,825.0,1993,2,1,4,8,1,2.0,495.0,0,66,5.278755886707245,1993
150,13500,6,1960,1975,429.0,1602.0,1252,1,0,1,4,1,2.0,564.0,409,0,5.371069710329429,1252
151,11340,6,1923,1950,0.0,1200.0,1200,1,0,4,7,0,1.0,312.0,0,0,5.096913487350014,1200
152,9600,6,1924,1950,0.0,572.0,1096,1,0,2,5,0,0.0,0.0,0,8,4.897632588654153,1096
153,7200,5,1950,1950,0.0,0.0,1040,1,0,2,5,0,2.0,625.0,0,0,5.039418085317679,1040
154,12003,8,2009,2010,0.0,774.0,1968,2,1,4,8,1,3.0,680.0,0,75,5.430560381002075,1968
155,12552,7,2004,2005,222.0,991.0,1947,2,1,3,8,1,2.0,678.0,0,136,5.406371539249691,1947
156,19378,7,2005,2006,57.0,1392.0,2462,2,1,4,9,1,2.0,576.0,239,132,5.5051513354880415,2462
157,11120,6,1984,1984,660.0,1232.0,1232,2,0,3,6,0,2.0,516.0,0,0,5.210856037888097,1232
158,13688,9,2003,2004,1016.0,1572.0,2668,2,1,3,10,2,3.0,726.0,400,0,5.615425005719775,2668
159,12182,7,2005,2005,1201.0,1541.0,1541,2,0,3,7,1,2.0,532.0,0,70,5.342424654883547,1541
160,5500,4,1956,1956,0.0,882.0,882,1,0,1,4,0,0.0,0.0,0,0,5.013683905550667,882
161,5400,6,1926,2004,370.0,1149.0,1616,2,0,3,5,0,1.0,216.0,0,0,5.181846445135912,1616
162,10106,5,1940,1999,351.0,644.0,1355,2,0,4,6,0,0.0,0.0,140,0,5.105513590987847,1355
163,10708,5,1955,1993,379.0,1617.0,1867,1,0,2,7,3,1.0,303.0,476,0,5.278755886707245,1867
164,10562,8,2007,2007,1288.0,1582.0,2161,1,1,3,8,1,3.0,789.0,178,120,5.5127177406436,2161
165,8244,7,2004,2004,0.0,840.0,1720,2,1,3,7,1,2.0,440.0,100,48,5.2636384353090815,1720
166,16669,8,1981,1981,0.0,1686.0,1707,2,1,2,6,1,2.0,511.0,574,64,5.357936751796636,1707
167,12358,5,1941,1950,360.0,720.0,1382,1,1,2,7,0,2.0,660.0,237,0,5.108906507377758,854
168,5306,7,1987,1987,495.0,1064.0,1767,2,0,2,5,1,2.0,504.0,441,35,5.37839971807606,1767
169,10197,6,1961,1961,288.0,1362.0,1362,1,1,3,6,1,2.0,504.0,0,20,5.21219026877911,1362
170,12416,6,1986,1986,1398.0,1606.0,1651,2,0,3,7,1,2.0,616.0,192,0,5.26482018329922,1651
171,12615,6,1950,2001,477.0,1202.0,2158,2,0,4,7,1,2.0,576.0,0,29,5.385608060814725,2158
172,10029,6,1988,1989,831.0,1151.0,2060,2,1,4,8,1,2.0,521.0,0,228,5.324284513560502,2060
173,13650,5,1958,1958,57.0,1052.0,1920,2,0,4,8,1,2.0,451.0,0,0,5.236791617051166,1920
174,17423,9,2008,2009,1904.0,2216.0,2234,2,0,1,9,1,3.0,1166.0,0,60,5.700563543717277,2234
175,8520,5,1923,2006,0.0,968.0,968,1,0,2,5,0,2.0,480.0,0,0,5.000004342923105,968
176,2117,6,2000,2000,436.0,756.0,1525,2,1,3,5,1,2.0,440.0,0,0,5.247975719996016,1525
177,7588,7,1920,1950,352.0,793.0,1802,1,1,4,9,1,1.0,216.0,0,0,5.301249259018004,1802
178,9060,5,1957,2006,0.0,0.0,1340,1,0,3,7,1,1.0,252.0,116,0,5.079184865153228,1340
179,11426,7,2003,2003,0.0,1362.0,2082,2,1,3,6,0,2.0,484.0,280,238,5.301032167130962,2082
180,7438,5,1908,1991,0.0,504.0,1252,1,0,3,5,0,2.0,576.0,104,0,5.103807140584084,1252
181,9947,7,1990,1991,611.0,1188.0,1217,2,0,3,6,0,2.0,497.0,168,27,5.238048613494268,1217
182,10410,5,1916,1987,0.0,660.0,1656,2,1,3,8,0,1.0,180.0,0,0,5.1303369854792535,1512
183,7018,5,1979,1979,1086.0,1086.0,1224,0,2,2,6,2,2.0,528.0,120,0,5.185649794418922,1224
184,4923,8,2001,2002,1153.0,1593.0,1593,1,1,0,5,1,2.0,682.0,0,120,5.456367551638563,1593
185,10570,8,1932,1994,297.0,853.0,2727,2,1,3,10,2,2.0,440.0,0,74,5.498311932500053,2727
186,7472,7,1972,2004,626.0,725.0,1479,1,1,4,7,0,2.0,484.0,0,32,5.26482018329922,1479
187,9017,7,1999,1999,560.0,1431.0,1431,2,0,3,6,0,2.0,666.0,0,35,5.283303490648086,1431
188,2522,7,2004,2004,0.0,970.0,1709,2,0,3,7,0,2.0,380.0,0,40,5.113946693020772,1709
189,7180,5,1972,1972,390.0,864.0,864,1,0,3,5,0,1.0,352.0,0,0,5.103807140584084,864
190,2280,6,1976,1976,566.0,855.0,1456,2,1,3,7,1,2.0,440.0,87,0,5.17172937818535,1456
191,9416,7,2007,2007,1126.0,1726.0,1726,2,0,3,8,1,3.0,786.0,171,138,5.4939777779037415,1726
192,5520,6,1912,1950,0.0,755.0,2229,1,0,5,8,0,0.0,0.0,0,198,5.017037515187184,1858
193,9591,8,2004,2005,1088.0,1713.0,1713,2,0,3,7,1,3.0,856.0,0,26,5.439176319667739,1713
194,8546,4,2003,2004,0.0,1121.0,1121,2,0,2,5,0,2.0,440.0,132,64,5.146131137770602,1121
195,10125,6,1977,1977,641.0,1196.0,1279,2,0,3,6,2,2.0,473.0,238,83,5.234266656700747,1279
196,7000,6,1924,1950,617.0,617.0,1310,2,0,2,6,0,1.0,398.0,0,0,5.049221900282173,1310
197,4438,6,2004,2004,662.0,848.0,848,1,0,1,3,1,2.0,420.0,149,0,5.173189183130559,848
198,3500,5,1947,1950,312.0,720.0,1284,1,1,2,5,0,1.0,240.0,0,35,5.041396633271932,1284
199,11851,7,1990,1990,0.0,1424.0,1442,2,0,3,5,0,2.0,500.0,0,34,5.256479612298623,1442
200,13673,5,1962,1962,0.0,1140.0,1696,1,1,3,8,1,1.0,349.0,0,30,5.158063811955874,1696
201,12493,4,1960,1960,419.0,1100.0,1100,1,0,3,6,1,1.0,312.0,355,0,5.149222192747166,1100
202,14364,7,1988,1989,1065.0,1157.0,2062,2,1,3,7,1,2.0,454.0,60,55,5.442481336911734,2062
203,8250,6,1964,1964,787.0,1092.0,1092,1,0,3,6,0,2.0,504.0,0,0,5.161370997359005,1092
204,5604,5,1925,1950,468.0,864.0,864,1,0,2,5,0,0.0,0.0,0,0,4.991230507246231,864
205,10420,6,2009,2009,36.0,1212.0,1212,2,0,3,6,0,2.0,460.0,100,22,5.269515279128209,1212
206,8640,7,2009,2009,822.0,900.0,1852,2,1,3,7,1,2.0,644.0,168,108,5.402569149466033,1852
207,13568,5,1995,1995,716.0,990.0,990,1,0,3,5,0,2.0,576.0,224,0,5.193127382284525,990
208,10900,6,1977,1977,378.0,689.0,1392,1,1,3,6,0,1.0,299.0,0,36,5.208846974306051,1392
209,10011,5,1957,1996,360.0,1070.0,1236,1,0,2,6,1,1.0,447.0,0,0,5.128564036703366,1236
210,8450,7,2004,2004,946.0,1436.0,1436,2,0,3,8,0,2.0,484.0,139,98,5.322221362797957,1436
211,9906,4,1925,1950,0.0,686.0,1328,1,0,3,8,0,1.0,210.0,0,172,5.029387836493177,1328
212,15660,7,1939,2006,341.0,798.0,1954,1,1,3,8,2,2.0,431.0,0,119,5.493459445196745,1954
213,3010,7,2005,2006,16.0,1248.0,1248,2,0,2,5,0,2.0,438.0,108,0,5.2233427557043965,1248
214,8990,7,2006,2006,0.0,1498.0,1498,2,0,2,5,0,2.0,675.0,351,33,5.311544077939614,1498
215,8068,6,2002,2002,0.0,1010.0,2267,2,1,4,8,1,2.0,390.0,120,46,5.301032167130962,2267
216,11475,6,1975,1975,550.0,713.0,1552,2,1,3,6,1,2.0,434.0,209,208,5.255033577427124,1552
217,10500,4,1971,1971,524.0,864.0,864,1,0,2,4,0,2.0,576.0,216,0,4.986776211505866,864
218,13472,10,2003,2003,56.0,2392.0,2392,2,0,3,8,1,3.0,968.0,248,105,5.5868696168184435,2392
219,1680,5,1971,1971,0.0,630.0,1302,2,1,3,6,0,1.0,280.0,0,0,5.049221900282173,1302
220,9950,7,1995,1995,565.0,1203.0,2520,2,1,4,9,1,3.0,721.0,224,114,5.462399495463553,2520
221,1869,6,1970,1970,321.0,483.0,987,1,1,2,5,0,1.0,280.0,0,0,5.025309962363198,987
222,8521,5,1967,1967,842.0,912.0,912,1,0,3,5,1,1.0,336.0,0,0,5.096913487350014,912
223,3182,7,2005,2006,16.0,1373.0,1555,2,0,2,7,1,2.0,430.0,143,20,5.28443298991389,1555
224,8760,6,1959,1959,0.0,1194.0,1194,1,0,3,6,0,1.0,312.0,0,0,5.170264649807219,1194
225,15138,8,1995,1996,689.0,1462.0,2794,2,1,4,9,1,3.0,810.0,0,146,5.605306123793573,2794
226,1680,6,1972,1972,0.0,483.0,987,1,1,2,5,1,1.0,288.0,0,0,4.975436404193751,987
227,10650,5,1976,1976,182.0,894.0,894,1,0,3,5,0,1.0,308.0,365,0,5.107891412802051,894
228,7851,6,2002,2002,625.0,860.0,1960,2,1,4,8,2,2.0,440.0,288,48,5.335459906663883,1960
229,1680,6,1971,1971,358.0,483.0,987,1,1,2,5,0,1.0,264.0,0,0,4.951827887741115,987
230,8773,7,2004,2004,24.0,1414.0,1414,2,0,3,6,0,2.0,494.0,132,105,5.268346255154899,1414
231,9453,7,1993,2003,402.0,996.0,1744,2,1,3,7,0,2.0,457.0,370,70,5.2889218385325005,1744
232,12030,8,2007,2007,0.0,1694.0,1694,2,0,3,7,0,3.0,818.0,168,228,5.5024284856882035,1694
233,8741,6,1945,1950,94.0,735.0,1487,1,1,3,7,1,1.0,220.0,0,140,5.0530822867804135,1487
234,9000,8,2008,2008,1078.0,1566.0,1566,2,0,3,7,0,2.0,750.0,144,168,5.419130962193994,1566
235,3880,5,1945,1997,329.0,686.0,866,1,0,2,4,0,0.0,0.0,58,42,5.04336620827015,866
236,5000,5,1900,1950,0.0,540.0,1440,1,0,3,6,0,1.0,352.0,0,0,4.897632588654153,1440
237,10762,6,1980,1980,0.0,626.0,1217,1,1,3,6,1,1.0,288.0,0,28,5.079184865153228,1217
